"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"mmp15b",154.480839619352,8,0,0,1.28788066993536
"pbx3b",154.415846525848,8,0,0,1.87898168631245
"hoxc3a",153.317057770756,8,0,0,2.9300019113972
"si:dkey-30c15.10",153.05328447536,8,0,0,0.903159956962384
"zeb1b",153.035789850455,8,0,0,0.576210195798649
"abtb2b",152.832260750722,8,0,0,1.87709562786258
"grb10a",152.830703409302,8,0,0,0.962620286110386
"hells",152.790954385438,8,0,0,0.517292513495915
"klf6a",152.455970570573,8,0,0,0.659142471839841
"zgc:194989",152.256422824435,8,0,0,1.19212477681901
"pold1",150.658624091341,8,0,0,0.825630769871606
"rhag",150.416261626709,8,0,0,1.25796157171192
"ncapg",149.608761553573,8,0,0,1.04698019623526
"e2f8",149.535255395867,8,0,0,1.51852944807145
"mcm5",149.398253977651,8,0,0,0.456818380286703
"ablim3",148.6134738928,8,0,0,1.12081956012695
"wnt9a",148.236231935582,8,0,0,1.24129569587396
"fbxo5",147.991767321956,8,0,0,1.52183768572599
"dnajc9",147.802914671262,8,0,0,0.49039192967347
"ttk",147.246059621923,8,0,0,1.10451824326314
"lyar",147.162467208683,8,0,0,0.550122390137571
"cd82a",147.042918133153,8,0,0,0.76249077131786
"adgrl3.1",146.842543799368,8,0,0,0.741653368034381
"magoh",145.975545930627,8,0,0,0.34989835099572
"tmeff2a",145.888934682677,8,0,0,3.83846735724898
"UTP14C",145.450443550838,8,0,0,0.642639589824461
"igfbp3",144.853645239831,8,0,0,1.75888914489572
"her9",144.756505440787,8,0,0,0.979037026646879
"ncam2",144.482990497935,8,0,0,2.06503092466807
"ccnb1",143.856992387512,8,0,0,1.45852265164401
"cdc20",142.802404359704,8,0,0,1.19337577601016
"spsb4a",142.773593649068,8,0,0,0.575725041866648
"fat3a",142.603018834051,8,0,0,2.67622664994186
"gnl3",142.349440927299,8,0,0,0.533762527389143
"hist1h4l.10",142.268878213857,8,0,0,0.922154709774122
"caskin1",142.234694884149,8,0,0,0.538144727027955
"hdac4",142.128883995964,8,0,0,0.497824641362182
"gpt2",142.023650940404,8,0,0,1.70121090417689
"zbtb16b",141.215652782087,8,0,0,1.53896158705776
"thrab",139.870632354077,8,0,0,1.25005494651666
