"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.17362347460146e-39,1.37042524655856,0.514,0.314,1.2474640921959e-34,"mVEC","sesn3"
6.55631906533776e-39,1.22411817145991,0.668,0.479,1.58085965303424e-34,"mVEC","tcima"
7.10610410061246e-39,-2.05549789422207,0.12,0.325,1.71342382073968e-34,"mVEC","diaph3"
1.74013582668793e-37,0.582029849812529,0.917,0.82,4.19581550530993e-33,"mVEC","npr1a"
2.77215429176027e-37,-1.05683004194521,0.681,0.787,6.68421842829237e-33,"mVEC","tubb2b"
4.12539660754296e-37,0.545928891633403,0.908,0.849,9.94715630010758e-33,"mVEC","nos1apa.1"
4.85900290086112e-37,3.52541499021483,0.178,0.024,1.17160277945563e-32,"mVEC","si:ch211-51a6.2"
5.3013637124031e-37,-0.878625759599961,0.582,0.764,1.27826481833464e-32,"mVEC","agap1"
5.70401557095703e-37,1.31239269390344,0.549,0.353,1.37535223446916e-32,"mVEC","tnfaip2b"
8.69800188430411e-37,-0.745788747866674,0.833,0.877,2.09726221434341e-32,"mVEC","tuba8l4"
1.35218226673166e-36,0.910331719271969,0.713,0.574,3.26038188154337e-32,"mVEC","lrba"
1.37227093602941e-36,-2.1453397702915,0.09,0.275,3.30881968095411e-32,"mVEC","tiparp"
1.3947803889133e-36,0.926735559010066,0.671,0.484,3.36309447374775e-32,"mVEC","ENSDARG00000100606"
1.85525654650793e-36,-2.1437899639848,0.065,0.24,4.47339458493991e-32,"mVEC","kif20a"
2.73260924964976e-36,1.64118263091964,0.366,0.157,6.58886742275549e-32,"mVEC","insra"
5.50675404539446e-36,-1.73280503748286,0.073,0.254,1.32778853542551e-31,"mVEC","CABZ01066694.1"
5.58814506273843e-36,1.66401614581893,0.379,0.165,1.34741353752749e-31,"mVEC","cd81b"
6.87230704914532e-36,0.659976866534668,0.914,0.853,1.65705067568992e-31,"mVEC","stab1"
9.79542647701867e-36,1.9301620368895,0.262,0.076,2.36187323213874e-31,"mVEC","efemp2b"
1.13980582758565e-35,0.592038561534995,0.913,0.872,2.74829981147453e-31,"mVEC","cpn1.1"
2.06460320297416e-35,-1.11263402780172,0.366,0.591,4.97817124301128e-31,"mVEC","plxna2"
4.37591372546133e-35,1.75551235342089,0.4,0.2,1.05512031748324e-30,"mVEC","mmrn2a"
4.61909360314487e-35,0.850103472872588,0.699,0.568,1.11375584959029e-30,"mVEC","tmem88b"
4.76336077465025e-35,-2.69535442046299,0.036,0.186,1.14854154998367e-30,"mVEC","kifc1"
4.87293859936287e-35,-2.25252899789512,0.066,0.234,1.17496295507837e-30,"mVEC","ccna2"
1.81913380866677e-34,1.27161599235391,0.559,0.383,4.38629543945732e-30,"mVEC","sik1"
2.95531111875049e-34,1.32899920627161,0.473,0.264,7.12584616953119e-30,"mVEC","pbx1a"
3.71956532276214e-34,-3.35218350230394,0.021,0.153,8.96861590624407e-30,"mVEC","si:ch211-152c2.3"
5.79920625953562e-34,1.05863104640496,0.535,0.321,1.39830461329923e-29,"mVEC","nrp1a"
1.06487278578147e-33,-1.03168952755372,0.272,0.502,2.56762126107628e-29,"mVEC","spock3"
1.16364740986576e-33,-1.70666633159652,0.175,0.371,2.80578663466833e-29,"mVEC","sox6"
2.25667889855794e-33,1.73309724785976,0.313,0.122,5.44130416020289e-29,"mVEC","ehd2b"
2.72796311584743e-33,-2.31660733315729,0.078,0.244,6.57766466493131e-29,"mVEC","mad2l1"
3.83664693102749e-33,-2.1073553220036,0.099,0.277,9.25092308009349e-29,"mVEC","CU929160.1"
5.60894286308821e-33,1.09925599902316,0.57,0.401,1.35242830314783e-28,"mVEC","efnb2b"
6.06149055310619e-33,1.12360856066197,0.547,0.363,1.46154660216496e-28,"mVEC","notchl"
6.57531098545773e-33,1.48572884126346,0.354,0.154,1.58543898481357e-28,"mVEC","bcar3"
6.83313378374382e-33,-3.58474716599867,0.03,0.164,1.64760521793631e-28,"mVEC","hmmr"
1.08151472380107e-32,-2.7288796058126,0.035,0.175,2.60774830202914e-28,"mVEC","ablim2"
1.16347241844683e-32,-4.8794113687087,0.006,0.113,2.80536469535901e-28,"mVEC","irx3b"
1.80585931354168e-32,1.35310196426122,0.496,0.319,4.35428797681169e-28,"mVEC","glud1a"
2.11725027429224e-32,-2.31061479833773,0.181,0.36,5.10511386137345e-28,"mVEC","adma"
2.12445815973444e-32,-1.73191446145162,0.134,0.323,5.12249351475169e-28,"mVEC","daam1b"
3.36288274302471e-32,-0.455096221537787,0.895,0.919,8.10858286998118e-28,"mVEC","hnrnpaba"
3.96488739371042e-32,-0.720912523372906,0.635,0.77,9.56013648371457e-28,"mVEC","setb"
4.33752049709252e-32,0.929728841632086,0.643,0.475,1.04586294225895e-27,"mVEC","palm1a"
4.65857660458666e-32,-2.94322474933962,0.046,0.191,1.12327599089794e-27,"mVEC","si:ch211-69g19.2"
4.9094142669043e-32,-1.52633539210777,0.31,0.503,1.18375796803597e-27,"mVEC","rbpjb"
5.27854494232172e-32,2.85014143784701,0.179,0.034,1.27276275649261e-27,"mVEC","BX936342.2"
6.29878872221219e-32,-1.01026150892026,0.441,0.652,1.5187639366998e-27,"mVEC","sox4a.1"
1.06116683529363e-31,1.06975586918954,0.633,0.503,2.55868547325999e-27,"mVEC","ptprea"
1.17554055102158e-31,1.46282002233163,0.46,0.28,2.83446337662323e-27,"mVEC","zgc:92107"
1.28954325913246e-31,4.77558758533388,0.128,0.008,3.1093467064202e-27,"mVEC","hoxc3a"
1.37579759306942e-31,3.6284289117488,0.155,0.022,3.31732315640899e-27,"mVEC","dhrs3b"
2.39203953535434e-31,0.522922176871205,0.893,0.804,5.76768572764639e-27,"mVEC","gapdhs"
3.2352377801418e-31,-1.98905352034142,0.095,0.268,7.80080533547791e-27,"mVEC","ccn1"
3.71632087291778e-31,-2.01682619817038,0.056,0.208,8.96079288877935e-27,"mVEC","cdca5"
3.91254341024604e-31,-2.21347744443132,0.087,0.25,9.43392467078524e-27,"mVEC","kif26aa"
6.32088721389238e-31,-1.13683434828929,0.323,0.538,1.52409232501373e-26,"mVEC","zfpm2a"
6.87515915599239e-31,-2.27079618142705,0.07,0.226,1.65773837569288e-26,"mVEC","kif11"
