"cat","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes","GOTerm","cluster","direction"
"GO_Biological_Process_AutoRIF","regulation_of_retinal_ganglion_cell_axon_guidance_(GO:0090259)","1 of 12",0.013716797428168498,0.22084322967874298,0.016316660886085906,0.24876094846411864,-3.30657466446368,14.18234217246163,"sema3d","GO:0090259","LEC","downregulated"
"GO_Biological_Process_AutoRIF","cellular_phosphate_ion_homeostasis_(GO:0030643)","1 of 11",0.012580640278472248,0.22084322967874298,0.015069688163398572,0.24876094846411864,-3.1745680028591297,13.890627475557876,"piezo1","GO:0030643","LEC","downregulated"
"GO_Biological_Process_AutoRIF","negative_regulation_of_nuclear_division_(GO:0051784)","1 of 21",0.023886095628309418,0.22084322967874298,0.02747865716703272,0.24876094846411864,-3.635139616971664,13.575278994472011,"meox1","GO:0051784","LEC","downregulated"
"GO_Biological_Process_AutoRIF","axonal_fasciculation_(GO:0007413)","1 of 25",0.028373519717907133,0.22084322967874298,0.03240458770195697,0.24876094846411864,-3.794298858707977,13.51642692790863,"sema3d","GO:0007413","LEC","downregulated"
"GO_Biological_Process_AutoRIF","commissural_neuron_axon_guidance_(GO:0071679)","1 of 23",0.02613227995815432,0.22084322967874298,0.029944302482904313,0.24876094846411864,-3.540970797068521,12.905365330271522,"sema3d","GO:0071679","LEC","downregulated"
"GO_Biological_Process_AutoRIF","regulation_of_dendrite_development_(GO:0050773)","1 of 21",0.023886095628309418,0.22084322967874298,0.02747865716703272,0.24876094846411864,-3.1730501159404194,11.849624808418666,"sema3d","GO:0050773","LEC","downregulated"
"GO_Biological_Process_AutoRIF","neuron_projection_extension_(GO:1990138)","1 of 23",0.02613227995815432,0.22084322967874298,0.029944302482904313,0.24876094846411864,-2.8512223161226995,10.39151908788654,"sema3d","GO:1990138","LEC","downregulated"
"GO_Biological_Process_AutoRIF","odontogenesis_(GO:0042476)","1 of 36",0.04061241748757106,0.22084322967874298,0.04584077805726738,0.24876094846411864,-3.20851944543423,10.279074099964248,"meox1","GO:0042476","LEC","downregulated"
"GO_Biological_Process_AutoRIF","somite_specification_(GO:0001757)","2 of 127",0.009275965823461702,0.22084322967874298,0.01046152113476007,0.24876094846411864,-2.119909031150619,9.921870749178415,"nfatc1;meox1","GO:0001757","LEC","downregulated"
"GO_Biological_Process_AutoRIF","muscle_organ_morphogenesis_(GO:0048644)","2 of 100",0.005847698891136311,0.22084322967874298,0.006634718570439319,0.24876094846411864,-1.776653861141995,9.135033678027352,"sema3d;meox1","GO:0048644","LEC","downregulated"
"GO_Biological_Process_AutoRIF","atrioventricular_valve_morphogenesis_(GO:0003181)","1 of 43",0.048323879515279666,0.22362850976785428,0.05430754846208851,0.2511909579359683,-2.9703274706041785,8.999585618649682,"sema3d","GO:0003181","LEC","downregulated"
"GO_Biological_Process_AutoRIF","dendrite_morphogenesis_(GO:0048813)","1 of 32",0.03617907021231784,0.22084322967874298,0.04097351532377208,0.24876094846411864,-2.682316376178369,8.903344343784106,"sema3d","GO:0048813","LEC","downregulated"
"GO_Biological_Process_AutoRIF","regulation_of_axon_extension_(GO:0030516)","1 of 44",0.04942066514206718,0.22362850976785428,0.055511813908501316,0.2511909579359683,-2.89340135980667,8.70157653446139,"sema3d","GO:0030516","LEC","downregulated"
"GO_Biological_Process_AutoRIF","regulation_of_neuron_projection_development_(GO:0010975)","1 of 31",0.03506767537445469,0.22084322967874298,0.039753379847264556,0.24876094846411864,-2.549672696029857,8.542615907005521,"sema3d","GO:0010975","LEC","downregulated"
